,verse,terminacion
0,comprendencia de la tierra de estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
1,aumento de la salud de la estableción,"[<'es':Vs>, <'ta':cV>, <'ble':ccV>, <'ción':cvVc>]"
2,la principación de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
3,misma para el año 2000 a 2005,"[<'20':cc>, <'05':cc>]"
4,en la comunidad de la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
5,precipitaciones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
6,de la inversión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
7,la siguifica y los compromisos,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sos':sVs>]"
8,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
9,emisiones de gases de la comprender,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>]"
10,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
11,cambio climático en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
12,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
13,ambientes de la tierra de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
14,consideración de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
15,que es el problema de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
16,la inversión de la tierra es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
17,el año 2000 a 2000 y 2009,"[<'20':cc>, <'09':cc>]"
18,2000 a 2000 y 2009 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,cambio climático y es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
20,el año 2000 a 2000 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
21,la sociedad de carbono es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
22,la comprendera de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
23,el año 2000 a 1990 y 2005,"[<'20':cc>, <'05':cc>]"
24,la consecuencia de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
25,la contra el problema de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,contra el cambio climático es el año,"[<'a':V>, <'ño':cV>]"
27,el cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
28,comprendería esta alta de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
29,siguificación de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
30,cambio climático en el año 2000,"[<'20':cc>, <'00':cc>]"
31,la comunidad de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
32,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
33,cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
34,climático y se de una producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
35,la estabilidad de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
36,de la compromiso de la comprender,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>]"
37,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
38,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
39,la estado de la estado de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
40,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
41,la atmósfera es el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
42,la compromiso de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
43,la compromiso de la conseguida,"[<'con':cVc>, <'se':sV>, <'gui':cvv>, <'da':cV>]"
44,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
45,2000 a 2000 y 2005 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
46,demanda de la tierra de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
47,las concentraciones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
48,comprender el problema de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
49,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
50,la compromiso de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
51,cambio climático y en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
52,probable que el año 2000 a 2000,"[<'20':cc>, <'00':cc>]"
53,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
54,la consecuencia de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
55,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
56,precipitaciones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
57,de la compromiso de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
58,de la tierra en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
59,la comprendencia de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
60,la comprendencia de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
61,precios de compromisos de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
62,la consecuencia de la comunidad,"[<'co':cV>, <'mu':cv>, <'ni':cv>, <'dad':cVc>]"
63,la compromiso de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
64,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
65,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
66,la estructura de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
67,temperatura de la tierra para,"[<'pa':cV>, <'ra':cV>]"
68,precipitaciones de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
69,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
70,producción de la comprender el cambio,"[<'cam':cVc>, <'bio':cvV>]"
71,emisiones de carbono en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
72,de carbono en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
73,año 2000 a 2000 en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
74,el año 2000 es es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
75,problema de la comprender el agua,"[<'a':V>, <'gua':cvV>]"
76,de las precipitaciones de gases,"[<'ga':cV>, <'ses':sVs>]"
77,el año 2000 a 2008 y 2005,"[<'20':cc>, <'05':cc>]"
78,cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
79,las precipitaciones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
80,reducción de la atmósfera es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
81,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
82,en el aumento de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
83,la comprender en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
84,2000 y 2005 y 2005 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
85,el cambio climático y la intersidad,"[<'in':vc>, <'ter':cVc>, <'si':sv>, <'dad':cVc>]"
86,la compromiso de la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
87,el año 2000 el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
88,precipitaciones de compromisos,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sos':sVs>]"
89,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
90,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
91,el año 2000 a 2000 y 2000,"[<'20':cc>, <'00':cc>]"
92,2000 a 2000 y 2000 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
93,emisiones de carbono en el año,"[<'a':V>, <'ño':cV>]"
94,carbono en el año 2000 a 2000,"[<'20':cc>, <'00':cc>]"
95,seguridad de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
96,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
97,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
98,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
99,de la tierra de carbono en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
100,el cambio climático como el año,"[<'a':V>, <'ño':cV>]"
101,deciria a la comprender el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
102,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
103,la compromiso en la comprender esta,"[<'es':Vs>, <'ta':cV>]"
104,problemas de combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
105,de carbono en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
106,consideración de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
107,la compromiso de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
108,contra el cambio climático en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
109,la conferencia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
110,estado de la compromiso de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
111,la tierra y el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
112,se ha registro de la superficie,"[<'su':sv>, <'per':cVc>, <'fi':cv>, <'cie':cvV>]"
113,consideración de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
114,el año 2000 el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
115,para la contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
116,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
117,para la contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
118,el año 2000 a 2000 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
119,los cambios en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
120,comprendera de la consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
121,estres de la comprendera de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
122,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
123,estado de las precipitaciones,"[<'pre':ccV>, <'ci':cv>, <'pi':cv>, <'ta':cV>, <'cio':cvV>, <'nes':cVs>]"
124,la compromiso de la secursidad,"[<'se':sV>, <'cur':cvc>, <'si':sv>, <'dad':cVc>]"
125,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
126,de la producción de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
127,la comprendencia de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
128,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
129,la segunda en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
130,para la diversidad biológica,"[<'bio':cvV>, <'ló':cV>, <'gi':cv>, <'ca':cV>]"
131,el cambio climático y el año,"[<'a':V>, <'ño':cV>]"
132,la comunidad de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
133,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
134,2000 a 2000 y 2005 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
135,el cambio climático y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
136,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
137,el cambio climático en el aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
138,el año 2000 a 2000 y 2000,"[<'20':cc>, <'00':cc>]"
139,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
140,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
141,2000 a 2000 y 2005 la especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
142,los problemas de carbono en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
143,el año 2000 es es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
144,la convención de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
145,problema de la energía negación,"[<'ne':cV>, <'ga':cV>, <'ción':cvVc>]"
146,la energía negación de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
147,la comprendencia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
148,el problema de carbono en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
149,2000 es el problema de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
150,de la compromiso de la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
151,de la compromiso de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
152,se ha actividad de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
153,precipitaciones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
154,la tierra y el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
155,las precipitaciones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
156,las emisiones de carbono sobre,"[<'so':sV>, <'bre':ccV>]"
157,de carbono sobre la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
158,el cambio climático y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
159,conseno de combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
160,desarrollo en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
161,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
162,el cambio climático con el cambio,"[<'cam':cVc>, <'bio':cvV>]"
163,el cambio climático y se presenta,"[<'pre':ccV>, <'sen':sVc>, <'ta':cV>]"
164,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
165,el cambio climático con el cambio,"[<'cam':cVc>, <'bio':cvV>]"
166,el cambio climático y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
167,experta de la estres de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
168,consecuencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
169,la conferencia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
170,las emisiones de la compensación,"[<'com':cVc>, <'pen':cVc>, <'sa':sV>, <'ción':cvVc>]"
171,de la reducción de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
172,emisiones de la contra contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
173,para la contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
174,el año 2000 a 2000 el marco,"[<'mar':cVc>, <'co':cV>]"
175,a 2000 el particular el cambio,"[<'cam':cVc>, <'bio':cvV>]"
176,es el cambio climático en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
177,comprender el año 2000 a 2000,"[<'20':cc>, <'00':cc>]"
178,el año 2000 a 2000 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
179,consecuencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
180,para el problema de la estabilidad,"[<'es':Vs>, <'ta':cV>, <'bi':cv>, <'li':cv>, <'dad':cVc>]"
181,cambio climático y los problemas,"[<'pro':ccV>, <'ble':ccV>, <'mas':cVs>]"
