,verse,terminacion
0,el cambio climático y la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
1,el cambio climático de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
2,consecuencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
3,de la consecuencia de la consecuir,"[<'con':cVc>, <'se':sV>, <'cuir':cvvc>]"
4,de la consecuidad de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
5,en la consecuencia de la compatación,"[<'com':cVc>, <'pa':cV>, <'ta':cV>, <'ción':cvVc>]"
6,este estableca del cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
7,estan los procesos en la contratura,"[<'con':cVc>, <'tra':ccV>, <'tu':cv>, <'ra':cV>]"
8,de la compensión de la compenstación,"[<'com':cVc>, <'pens':cVcs>, <'ta':cV>, <'ción':cvVc>]"
9,la consumo del cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
10,estables en la comprendia de la compran,"[<'com':cVc>, <'pran':ccVc>]"
11,a la temperatura de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
12,la consecuencia de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
13,en el cambio climático en la consecuir,"[<'con':cVc>, <'se':sV>, <'cuir':cvvc>]"
14,consecuencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
15,el cambio climático de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
16,la consecuencia de la consemuidad,"[<'con':cVc>, <'se':sV>, <'mui':cvv>, <'dad':cVc>]"
17,cambio climático de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
18,esta la comprendia de la compensadad,"[<'com':cVc>, <'pen':cVc>, <'sa':sV>, <'dad':cVc>]"
19,la consecuencia de las presentados,"[<'pre':ccV>, <'sen':sVc>, <'ta':cV>, <'dos':cVs>]"
20,la consecuencia de la compensadad,"[<'com':cVc>, <'pen':cVc>, <'sa':sV>, <'dad':cVc>]"
21,cambio climático y la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
22,consecuencia de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
23,por la consecuencia de la comprandia,"[<'com':cVc>, <'pran':ccVc>, <'dia':cvV>]"
24,la comprendia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
25,el cambio climático de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
26,este consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
27,de la consecuencia de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
28,cambio climático de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
29,cambio climático de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
30,el cambio climático de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
31,la temperatura de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
32,el cambio climático de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
33,compenstaciones de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
34,de la contraría de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
35,la compredades de la comprestica,"[<'com':cVc>, <'pres':ccVs>, <'ti':cv>, <'ca':cV>]"
36,la comprendia de la comprificación,"[<'com':cVc>, <'pri':ccv>, <'fi':cv>, <'ca':cV>, <'ción':cvVc>]"
37,el cambio climático de la estretaria,"[<'es':Vs>, <'tre':ccV>, <'ta':cV>, <'ria':cvV>]"
38,de la consecuencia de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
39,la seguridad de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
40,la temperatura de la estrecidad,"[<'es':Vs>, <'tre':ccV>, <'ci':cv>, <'dad':cVc>]"
41,estable a los países del prodecto,"[<'pro':ccV>, <'dec':cVc>, <'to':cV>]"
42,estables de la estrención de la tendencia,"[<'ten':cVc>, <'den':cVc>, <'cia':cvV>]"
43,el cambio climático y la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
44,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
45,de la compran de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
46,esta de la consecuir en la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
47,de la comprensión de la compensadad,"[<'com':cVc>, <'pen':cVc>, <'sa':sV>, <'dad':cVc>]"
